step temp press etotal pe ke density
1000 144.866741776942 22.8201554187654 -886.948352549435 -1275.15474812915 388.206395579718 0.360551132611138
2000 138.337883109694 -46.9446375813597 -880.048813000577 -1250.7595110905 370.710698089922 0.350623513183372
3000 149.936237367927 -56.4522639141878 -853.709899784178 -1255.50126722593 401.791367441747 0.351916155281658
4000 142.525859210319 20.9362687202496 -923.18579186256 -1305.11921151614 381.933419653584 0.3679318644556
5000 135.680001174628 -93.4605129464483 -917.973838396043 -1281.56208206177 363.588243665723 0.356464242583611
6000 141.134174052267 -52.7510756041027 -921.27468858073 -1299.47874238842 378.204053807688 0.363461093938174
7000 143.33270529702 31.3113829758327 -893.508637257752 -1277.60420128805 384.095564030299 0.36113696281256
8000 134.30455983309 32.5551500272709 -918.942670997244 -1278.8450781557 359.902407158459 0.362138473632599
9000 137.22523651474 -10.6304022123248 -891.975485211554 -1259.70457055253 367.729085340971 0.357120928571515
10000 136.946410170076 -43.7991991546425 -940.278895199055 -1307.26079613506 366.981900936001 0.367198784946817
11000 134.912177254939 72.9218334341428 -911.101080594992 -1272.63174946718 361.530668872184 0.361121323939797
12000 141.257943935297 -82.9548895482779 -900.481653020875 -1279.01737895415 378.535725933278 0.357179282852038
13000 135.002999213611 67.6972993677515 -919.558281061231 -1281.33232991686 361.77404885563 0.36478631192228
14000 145.056673992879 59.2484865738608 -850.15043029393 -1238.86579639406 388.715366100135 0.351645811150386
15000 143.90968043709 31.3465068274042 -885.813030312416 -1271.45474245593 385.641712143509 0.358517141468067
16000 141.479321240672 -1.6489177157537 -904.212134715826 -1283.34109609244 379.128961376615 0.361247705469719
17000 145.894362405706 165.962259464951 -912.002466633971 -1302.96262677982 390.960160145847 0.370989074911859
18000 137.012626709926 55.6779017983238 -916.414605493622 -1283.57395008541 367.159344591789 0.363626926917443
19000 137.807659873109 117.231406700874 -922.487377446036 -1291.77721075359 369.289833307553 0.368137486309823
20000 140.935488385935 103.979164000923 -916.497915296609 -1294.16954154064 377.671626244026 0.3679129301376
21000 144.355542623714 -16.4187333577158 -935.759787535003 -1322.59629808615 386.836510551148 0.371827528910696
22000 143.422259737417 -57.1340668852179 -896.198138232734 -1280.53368561662 384.335547383885 0.358907600529591
23000 145.498970262127 65.8934628640663 -910.40924207109 -1300.30985081807 389.900608746978 0.367304810553598
24000 144.290111827941 -0.905948093864867 -879.851362781903 -1266.51253527357 386.661172491663 0.358149450749981
25000 139.301585996492 -25.1880800013269 -930.720493942728 -1304.01367314256 373.293179199836 0.366875281035648
26000 139.346354677245 -42.3266682173668 -916.786698479482 -1290.19984647255 373.413147993064 0.361914586950818
27000 142.099029818006 -61.5820161092823 -886.017579577136 -1266.80720392005 380.789624342909 0.355070262057548
28000 140.611352838477 35.1507104249597 -915.695968183619 -1292.49899276646 376.803024582841 0.365209903430177
29000 142.849334547582 28.6133811216613 -889.856973706659 -1272.65722582432 382.800252117666 0.360399546025005
30000 134.294942213379 5.72015560477954 -949.763478700859 -1309.64011305987 359.876634359014 0.365928931098933
31000 141.204689711498 39.77542785097 -931.678848238833 -1310.07186625988 378.393018021048 0.369522218562554
32000 136.61726571426 -14.6099881356207 -905.325608625643 -1271.42548528713 366.099876661483 0.357228464215462
33000 131.227283912735 -93.7440982705491 -929.146757985698 -1280.80284042813 351.656082442435 0.358684543089135
34000 140.145833287919 -60.9893629758242 -927.757012631379 -1303.31256202028 375.555549388897 0.363024191179095
35000 140.417839872477 -12.9782252332998 -904.90549930707 -1281.18995786083 376.284458553761 0.359049048472071
36000 143.97954059355 95.9009769772719 -938.678295593498 -1324.50721536798 385.828919774477 0.375309960709636
37000 137.63136853264 -30.6232215836607 -890.158932254024 -1258.97634915312 368.817416899095 0.355447126259896
38000 137.319498027132 2.42784866936647 -922.340104889728 -1290.32178735216 367.981682462428 0.363509247921922
39000 141.757634575732 157.608406962738 -924.812168022854 -1304.68693906786 379.874771045004 0.373266569169583
40000 140.349691876536 26.2305139097474 -925.612353315488 -1301.71419239741 376.101839081925 0.367472666742581
41000 133.190441342162 -81.5035560007032 -886.638498341671 -1243.55534844054 356.91685009887 0.349964777303378
42000 146.350295794867 102.541890912874 -930.34127719623 -1322.52322403694 392.181946840705 0.372884523465279
43000 142.823575289116 -1.00298972095812 -914.577628167706 -1297.30885195796 382.731223790257 0.365665746379084
44000 143.474360431371 58.6985064740306 -925.747853264378 -1310.22301739093 384.475164126548 0.369941035003963
45000 140.911325932993 70.6162931563404 -899.831758355236 -1277.43863530864 377.606876953401 0.362897999246192
46000 136.337570977556 -18.3574983631277 -923.903488559037 -1289.25385374351 365.350365184475 0.36107124757967
47000 135.309434826962 66.1999683303036 -920.02683162958 -1282.62205077921 362.595219149633 0.362770455654823
48000 135.323255392296 -55.0693034310869 -913.293304107033 -1275.92555889223 362.632254785194 0.358746774741421
49000 143.01005416178 68.5731051841779 -875.859090704683 -1259.09003092482 383.230940220134 0.357128082628752
50000 143.866919179558 77.3350504237054 -888.797695260561 -1274.32481799968 385.527122739116 0.362012161314639
51000 144.655150606079 59.1825710471578 -872.764224932364 -1260.40360944543 387.639384513065 0.357142505335525
52000 138.395119284237 152.57189628944 -929.799688276125 -1300.66376490375 370.86407662763 0.369840488538307
53000 146.954794273537 -24.7125591234517 -891.73681287333 -1285.53866344528 393.801850571952 0.359053434702654
54000 136.700082289139 9.66182559977012 -929.886930769137 -1296.20873500098 366.321804231841 0.365915297345125
55000 137.43906060229 67.0070004972704 -929.175430537311 -1297.47751059948 368.302080062173 0.367248303509792
56000 135.645845633452 -1.50098350665533 -929.825433637724 -1293.32214905227 363.496715414544 0.363638718766938
57000 142.330244843854 -30.5384842889722 -898.219620985659 -1279.62884338598 381.40922240032 0.359358325770331
58000 140.715144727152 -14.9786682154659 -891.580207129284 -1268.6613678426 377.081160713319 0.35711572127884
59000 133.882105525249 69.8233262238968 -932.43386007656 -1291.20419604924 358.770335972676 0.364273426586151
60000 135.898145356604 -13.7457843371347 -903.080610241305 -1267.25342539364 364.172815152337 0.357073253470675
61000 134.042149198211 -28.1257560526774 -940.75531285091 -1299.95452557372 359.199212722811 0.364493752239331
62000 135.558374549951 5.15622171727776 -942.014162689095 -1305.27647762202 363.262314932921 0.368088568754977
63000 143.838195092149 28.4755835452887 -900.55533488672 -1286.0054843033 385.45014941658 0.363322404759735
64000 140.09227696086 59.9153648738636 -952.029600539836 -1327.44163245583 375.41203191599 0.37453781586032
65000 142.482756063276 -46.3579287831231 -949.902686168595 -1331.72060023997 381.817914071376 0.372105470838615
66000 137.737156997005 -62.1757736677081 -922.058411622751 -1291.15931497251 369.100903349756 0.362733329179489
67000 137.722400239789 121.254172655586 -942.026343760016 -1311.08770271567 369.061358955651 0.372216664674922
68000 134.401787634465 4.2855629224852 -933.820444305918 -1293.9833974935 360.162953187582 0.365394721073238
69000 143.672823511942 22.0925916668365 -901.451093602811 -1286.45808881922 385.006995216409 0.36341608399885
70000 140.53911158737 6.64456427809637 -893.998400994025 -1270.60783721172 376.609436217697 0.359760208304449
71000 140.926018027479 -6.45343613799465 -955.058011762482 -1332.70425983015 377.64624806767 0.373318266370727
72000 142.684495565255 -10.9968704504429 -906.93501102742 -1289.29353617314 382.358525145722 0.364007049256467
73000 145.002181283378 47.9355936804475 -868.685143991138 -1257.25448334917 388.569339358031 0.357024035053798
74000 137.690851660323 -119.243108424773 -876.203249845788 -1245.1800665513 368.976816705512 0.346934483838204
75000 137.475109359031 -25.2446122073445 -933.27902243173 -1301.67770408615 368.398681654422 0.363589262970386
76000 147.823471460371 18.5823526134179 -909.690169962518 -1305.81985669263 396.129686730111 0.367833604858142
77000 138.611044462076 -45.9076521763833 -919.429190258362 -1290.87189200019 371.442701741824 0.362213524866151
78000 147.549358350145 37.8003792545759 -882.364551129191 -1277.759683736 395.395132606805 0.36200796996143
79000 143.441789933065 39.5854374932835 -894.273738404618 -1278.66162179582 384.3878833912 0.36191403865719
80000 144.529294601059 -12.6248257030717 -890.46587737661 -1277.76799948237 387.302122105757 0.360223994851504
81000 139.857548364375 -15.5454485827833 -877.515046688051 -1252.29806506192 374.783018373867 0.35322141971057
82000 139.883146089474 15.852358563439 -929.475754573286 -1304.32736840581 374.85161383252 0.367267654071815
83000 136.408330247395 28.9348018773747 -933.279898108996 -1298.81988032193 365.539982212934 0.367574388246459
84000 136.121663221627 2.0719232261284 -937.764610247451 -1302.53639700406 364.771786756613 0.366143443231218
85000 132.630042786333 -34.9565996506053 -936.162446281545 -1291.57756933956 355.41512305802 0.36211931181244
86000 133.792053053063 -51.7446903658354 -940.101188704852 -1298.63020672413 358.529018019282 0.364564654903188
87000 137.103962388956 -87.3062902997819 -900.780851319797 -1268.18495253625 367.404101216456 0.354541701300137
88000 143.243413943956 -44.8917764565199 -891.790307193244 -1275.64659287777 383.856285684528 0.357209950476502
89000 138.166302155434 -32.2920898032587 -897.895062374919 -1268.14596670551 370.250904330593 0.355416611657815
90000 142.898405467269 -1.09672802185568 -873.364319387962 -1256.29606921604 382.931749828083 0.354871829558007
91000 141.060492661428 -8.4081959384407 -880.497314387209 -1258.50392061785 378.00660623064 0.355946767233111
92000 139.112698523872 -46.5243220421633 -920.467308768065 -1293.25431709654 372.787008328477 0.361030228123133
93000 140.086320418596 -89.7014535703821 -923.161274127037 -1298.55734400941 375.396069882373 0.361593606214993
94000 141.451731049292 83.5911595400882 -923.510907669782 -1302.56593427975 379.055026609963 0.370062782036129
95000 151.99532102148 21.718052757228 -896.365055233953 -1303.67424846192 407.309193227971 0.367273408472275
96000 140.529375096389 -75.7655073837894 -877.482609941032 -1254.06595481421 376.583344873176 0.350643554874359
97000 141.397756684916 -14.8149029448616 -889.943335032969 -1268.85372393526 378.910388902293 0.357156810247029
98000 142.555437195506 96.6084040295073 -923.21916512054 -1305.23184632772 382.012681207182 0.369805346872475
99000 147.031014820329 9.79327454318073 -875.154060069913 -1269.1601625176 394.006102447683 0.358100306490663
100000 142.038314895468 74.297427385842 -903.666011740765 -1284.29293537717 380.626923636402 0.365174588907282
