step temp press etotal pe ke density
1000 146.25503104194 70.8832438485496 -922.698727540149 -1314.62538882735 391.926661287197 0.372192998949179
2000 134.049035522813 48.8107114251493 -923.363947234335 -1282.58161357334 359.217666339009 0.364378480671109
3000 140.073957061529 40.9555634850712 -909.910429793114 -1285.27336899121 375.362939198094 0.36401314721795
4000 133.344737050196 -48.3173179930774 -910.485021981921 -1267.81534573205 357.330323750134 0.357220652384831
5000 132.48907821517 -11.0049415983721 -939.644487290748 -1294.681860788 355.037373497256 0.362578232571957
6000 140.443796881229 24.5960198196472 -924.008890552421 -1300.36290735457 376.354016802148 0.366731848190355
7000 138.964767341608 43.7761285906822 -913.909878935053 -1286.30046893896 372.390590003911 0.363381561371171
8000 136.106430577216 -35.98342263228 -924.136942535431 -1288.86790964007 364.73096710464 0.361541725882818
9000 133.80543499081 -94.9751172522047 -937.77362408475 -1296.33850232809 358.564878243339 0.362384651995719
10000 142.762874289849 36.2179854178793 -923.010347304122 -1305.57890769873 382.56856039461 0.368056714641568
11000 146.024876740037 56.670717689332 -908.850943480056 -1300.16084918296 391.309905702905 0.366310208054459
12000 144.405949994981 165.852814257827 -899.094915078995 -1286.06650469432 386.971589615328 0.367229778670711
13000 132.677654703222 -21.4929876933933 -935.297223002449 -1290.83993401071 355.542711008263 0.364407901256289
14000 144.566427825392 -9.66625013750747 -882.30855576217 -1269.71018556029 387.401629798122 0.358131316344005
15000 143.662357591209 9.16384445086854 -911.504505964833 -1296.48345514863 384.978949183798 0.365576651068448
16000 132.571889354464 65.3755719113139 -914.283579053102 -1269.54286555471 355.259286501612 0.359107993763387
17000 139.485234681249 26.46218430217 -890.394832301741 -1264.1801437404 373.785311438663 0.358885359841188
18000 140.543156956679 -1.6232508528128 -900.667556270873 -1277.28783305983 376.620276788962 0.359270406607211
19000 138.996217892442 -50.2729209480686 -905.406609992629 -1277.88147955463 372.474869561998 0.358448871801829
20000 143.140408654181 33.8852755141242 -905.175973358602 -1288.75623079967 383.580257441064 0.364132789838052
21000 137.207142814451 13.6290412533895 -942.450644680169 -1310.13124345973 367.680598779558 0.370078088326805
22000 133.60729752642 -1.4582339928843 -956.926879652766 -1314.96079937563 358.033919722864 0.36971849113414
23000 143.104964346146 68.0319923078156 -922.027296447587 -1305.51257206676 383.485275619168 0.368951770753349
24000 139.661053696988 -94.2538748543219 -921.541128853745 -1295.79759098951 374.256462135761 0.362028567536861
25000 140.777881198924 -53.6998691024668 -903.334506983854 -1280.58378564667 377.249278662817 0.358396479969094
26000 144.382111320424 68.9619001084772 -936.306822949023 -1323.21453091828 386.907707969261 0.373211752540581
27000 138.126737674157 15.4801696025691 -901.118400948072 -1271.2632824298 370.144881481725 0.358663179030772
28000 138.460944612777 -86.312272160993 -920.843547540481 -1291.88401947608 371.040471935598 0.361194367551156
29000 134.314736210092 88.1402126106867 -929.267990201879 -1289.19766748865 359.929677286768 0.364814608765331
30000 144.268623622714 75.6184539606482 -899.845880564576 -1286.44947007621 386.603589511633 0.364457494502766
31000 140.139189454977 -0.387674552924635 -903.142968761481 -1278.68071435078 375.537745589297 0.360444609107897
32000 144.543838526206 54.9624431761878 -878.28326953955 -1265.62436570305 387.341096163499 0.359208832248034
33000 139.147283184562 37.1604225634628 -925.577886564153 -1298.45757307607 372.879686511917 0.367059534697453
34000 137.760560618413 -19.0174227185099 -949.429012821742 -1318.59263198466 369.163619162916 0.369904205995656
35000 139.519409297 -30.6765251822113 -889.503495777387 -1263.38038658229 373.876890804904 0.357070139816407
36000 144.478686603545 -14.9595380499189 -881.795424982294 -1268.96193039604 387.166505413743 0.356510596878486
37000 140.512567499541 27.7257440076462 -900.696211806925 -1277.23451655211 376.538304745187 0.360722430524925
38000 139.013741919503 17.2360371146829 -911.805535263537 -1284.32736480612 372.521829542584 0.361316253349639
39000 138.793660575642 21.3416584426706 -911.90493005663 -1283.83699700646 371.932066949825 0.362433142114562
40000 136.502399325749 -124.616515128893 -911.753917930736 -1277.54598159035 365.792063659616 0.35762290581179
41000 138.847742218553 -86.7852118955461 -909.506316144408 -1281.58330828137 372.076992136959 0.358890443615064
42000 132.864784774511 85.1352492084327 -923.468024176617 -1279.51219666313 356.044172486509 0.364357017554414
43000 141.518982681196 118.990427437967 -919.629904635791 -1298.86514868764 379.235244051853 0.36933646217232
44000 131.278944488048 -67.3992589501724 -950.593386007762 -1302.38790578571 351.794519777945 0.365051339194693
45000 140.686305618106 -39.4346370042607 -890.091457598053 -1267.09533675981 377.003879161756 0.356875008132688
46000 138.366207830582 41.5697637092218 -949.626204864303 -1320.41280607503 370.786601210728 0.372808966065709
47000 136.656303135909 -32.2525163465055 -890.057423216271 -1256.26191033952 366.204487123245 0.353287669740781
48000 147.691401256587 51.0043942412619 -876.557379075417 -1272.33315091005 395.775771834632 0.3620649073658
49000 146.548791721371 -33.8096138711658 -882.652052949188 -1275.36591889859 392.7138659494 0.35775840060336
50000 141.49438147027 -15.7827549164141 -919.233784049826 -1298.40310305012 379.169319000297 0.365263582210148
51000 140.119397276621 -89.2032778364963 -900.550203215157 -1276.03491074944 375.484707534283 0.358450767488993
52000 144.496495846295 -10.6570237838954 -944.209491086756 -1331.42372078732 387.214229700568 0.372561645105563
53000 135.960634387133 -70.8952173469857 -936.704851661362 -1301.04512168296 364.340270021602 0.364678058771148
54000 144.163147010538 -57.5498267316517 -878.265216313869 -1264.5861550602 386.320938746327 0.355781624524138
55000 142.793092100312 -38.7231280290468 -912.313401214145 -1294.96293773301 382.649536518865 0.36293383464568
56000 138.748657228923 -61.2017823940436 -912.793230059535 -1284.60469937042 371.811469310889 0.359333970028986
57000 138.295551860662 -39.49155089113 -888.940698464402 -1259.53795946445 370.597261000046 0.354846263153102
58000 140.67083515358 140.776181811106 -927.224645545634 -1304.18706775738 376.962422211748 0.37127414017319
59000 141.087125734779 -26.5468281106095 -905.180662342815 -1283.25863850476 378.077976161942 0.360785083178027
60000 140.728104777222 7.18025964744758 -906.944479903113 -1284.06037028773 377.115890384619 0.36270869077658
61000 139.403536325325 -57.6700229060151 -908.557988596728 -1282.12436901031 373.566380413577 0.35936924941195
62000 141.119599893864 60.2233754507345 -909.10154068706 -1287.26653941949 378.164998732432 0.364700312533203
63000 134.297994975433 -102.084028056596 -920.286794913265 -1280.17160990601 359.884814992742 0.359638414457542
64000 139.619169270857 46.1544142850722 -901.594281572197 -1275.73850399096 374.144222418765 0.361346005187843
65000 137.927977466242 31.097414504856 -901.238055409383 -1270.85030957477 369.612254165386 0.359658674574389
66000 135.853073862398 14.6764011991202 -956.72264972381 -1320.7746846191 364.052034895294 0.371696249526161
67000 141.096952779787 -78.0136897424509 -916.431664241309 -1294.53597440977 378.104310168459 0.362918053903275
68000 140.77431405935 -40.5037307909578 -919.615909277687 -1296.85562890453 377.23971962684 0.363603319672147
69000 143.248959921618 36.2583869246023 -908.955135685103 -1292.82628319348 383.871147508379 0.365617009913302
