step temp press etotal pe ke density
201000 140.910677424764 12.9086839253525 -926.538998729098 -1304.14413784372 377.605139114621 0.366618521822409
202000 142.424732507153 -6.89645209157151 -909.089475960704 -1290.75190150997 381.662425549269 0.36310067986653
203000 140.318483729704 48.5661379505607 -912.80839654214 -1288.82660564767 376.018209105533 0.365778016565773
204000 143.51332643512 9.33741579419066 -905.371047168046 -1289.95063037436 384.579583206315 0.36314503330607
205000 141.851912427759 -4.98774709615108 -898.465728086391 -1278.59314003896 380.12741195257 0.360849553595068
206000 140.001576760034 12.0347885314138 -933.358303408931 -1308.52728162185 375.168978212918 0.367960270191918
207000 145.592437764207 95.4929067716003 -888.618878938359 -1278.76995705906 390.151078120701 0.36296415390883
208000 143.717998315087 -82.6121670790872 -908.37912486331 -1293.50717717871 385.128052315402 0.3607808446357
209000 145.368258699386 1.23798868859353 -904.6253213545 -1294.17565602193 389.550334667434 0.363897412755854
210000 144.819653954534 141.58092821319 -897.30751267205 -1285.38772474278 388.080212070733 0.367250454270678
211000 142.84983302239 -61.9267408462465 -907.24212429372 -1290.04371219837 382.801587904651 0.362112769749989
212000 146.02920100343 -19.2970889799448 -913.495119246036 -1304.81661288614 391.3214936401 0.366860853230005
213000 142.476864880917 -90.5770500369987 -906.357773554541 -1288.15990074039 381.802127185847 0.359012150497803
214000 139.603828653052 21.241906722959 -910.024084967211 -1284.12719839249 374.103113425278 0.36226594553145
215000 140.30060885436 -74.1219218488091 -920.788090551618 -1296.7583994915 375.970308939882 0.362151971078899
216000 143.861542404728 18.0043463177004 -915.178500740148 -1300.6912150764 385.512714336256 0.366247000887724
217000 140.570463363536 51.8168217227433 -903.818187771251 -1280.51163885579 376.693451084539 0.363164325836388
218000 139.51112295363 21.8437280833479 -907.397449847603 -1281.25213533849 373.854685490882 0.362324205197536
219000 141.497458391006 37.885056875009 -903.72416042786 -1282.90172480107 379.17756437321 0.36196441568179
220000 136.159787875547 -8.83059211796085 -901.838165610631 -1266.7121168413 364.873951230665 0.356117286527119
221000 142.109604749971 -65.4237919369861 -893.557405294427 -1274.3753677926 380.817962498176 0.356651043613407
222000 139.636904146395 63.0166191152031 -905.728841142199 -1279.92058856238 374.191747420186 0.36222489744319
223000 141.936729690875 26.5770009867367 -908.141678838037 -1288.49637970173 380.354700863697 0.363850816138567
224000 138.153743819198 -29.9894757958575 -928.12482351511 -1298.34207466634 370.217251151231 0.36309406900185
225000 141.479013982158 -7.68817998510456 -943.257758768772 -1322.38589676993 379.128138001155 0.370493812951334
226000 144.806501673824 63.0919034084118 -916.415399753783 -1304.4603670235 388.044967269713 0.36857097965757
227000 132.774006277199 9.55468226178345 -915.726433582509 -1271.52734255107 355.800908968565 0.358673447624383
228000 141.459212089244 0.531034805098783 -911.664165147053 -1290.73923906062 379.075073913569 0.362175925759176
229000 137.008451045971 -13.1534453812798 -896.622194584945 -1263.77034944862 367.148154863674 0.358084624839438
230000 142.415956126368 -30.3862499287271 -913.223376371939 -1294.86228343029 381.638907058351 0.365148286251639
231000 138.879246588689 -36.538573887054 -912.850834784766 -1285.01225070199 372.161415917225 0.361333548902263
232000 143.101971775158 8.51999071914011 -902.545200010836 -1286.02245629318 383.477256282344 0.36219349489346
233000 140.833693589417 -8.49654051289114 -911.869337577203 -1289.26817939493 377.39884181773 0.361823531667671
234000 138.296977946231 -15.6940016034879 -895.74849181521 -1266.34957436554 370.60108255033 0.357463510361931
235000 132.226899247037 32.9070635504701 -935.60800389304 -1289.9428037632 354.334799870159 0.365978467622465
236000 141.582965732639 42.199282325224 -947.845438906477 -1327.2521414275 379.406702521026 0.373643795273477
237000 137.504537996025 38.9763561002631 -897.753814358094 -1266.23135735056 368.477542992463 0.358698175646268
238000 138.562365889709 29.5509295728868 -919.634205572982 -1290.94646099642 371.312255423443 0.364159538676006
239000 143.501652149074 -30.1476239486187 -910.377189144368 -1294.92548820326 384.548299058891 0.364095804171056
240000 143.445824329789 -37.1626381833285 -866.968972298178 -1251.36766685688 384.398694558699 0.35173764725507
241000 138.561890038833 62.7996502414254 -938.890414109981 -1310.20139437288 371.310980262898 0.370597432890564
242000 138.843251235621 -2.02325927596394 -930.383617002513 -1302.44857443589 372.064957433376 0.366815699983589
243000 140.717949620012 27.0910700660402 -900.434374150629 -1277.52305127064 377.088677120009 0.362445489615517
244000 145.65636825323 -5.94304646939231 -926.197532721668 -1316.51992845749 390.32239573582 0.369662265577665
245000 136.406338034147 -89.5863067860122 -929.004000648771 -1294.53864423177 365.534643582998 0.361271485702261
246000 146.345335739554 73.6358690649145 -879.588860985435 -1271.75751612667 392.168655141236 0.361852234012118
247000 138.122211775618 24.7671332991854 -891.26277090922 -1261.39552412232 370.132753213102 0.355483973015032
248000 141.915546458903 7.77590131521853 -902.283645748138 -1282.58158088335 380.297935135211 0.360802334040944
249000 135.385193922254 29.1198429502881 -919.769943505854 -1282.56817795738 362.798234451524 0.363190040913626
250000 144.10043965783 22.8362234503632 -914.281123662622 -1300.43402249121 386.15289882859 0.366162565109271
251000 142.211073841898 -28.8463005832025 -911.899365468546 -1292.98923958671 381.089874118169 0.36326166799279
