step temp press etotal pe ke density
1000 141.875152304009 -14.4584083005568 -928.305177562595 -1308.49486653253 380.18968896993 0.366395145666984
2000 136.114984719374 -45.7223086386416 -895.690164116103 -1260.44405416809 364.75389005199 0.355417739758255
3000 136.152360062978 -57.8299654238221 -900.692933058596 -1265.54697962164 364.854046563041 0.356223959138926
4000 138.759009769047 -34.538059814861 -926.077484443915 -1297.91669595593 371.839211512012 0.365006012750184
5000 140.939245747577 -12.1800215104361 -942.543246239114 -1320.22494126637 377.681695027254 0.371172610497514
6000 142.213493190871 -29.6049718058173 -900.501665248553 -1281.59802261286 381.096357364311 0.358893437397975
7000 142.643037300233 45.3774242846481 -924.476843426098 -1306.7242708593 382.247427433205 0.367952208137793
8000 137.984809446894 -39.9693860102492 -929.826391816724 -1299.59094138195 369.764549565226 0.36564044384915
9000 142.13949397916 109.867595579425 -904.362088856005 -1285.26014696335 380.898058107341 0.36565330835368
10000 132.775411137512 -67.3953908516919 -930.198747784806 -1286.00342142531 355.804673640507 0.359925951209245
11000 143.752664034135 17.7604737261708 -921.749422669687 -1306.97037038452 385.220947714834 0.366293250242282
12000 137.653363529174 -49.7772044031971 -936.272742257059 -1305.14910020929 368.876357952233 0.36576685844801
13000 141.347280003147 -55.0447286335341 -896.656289149482 -1275.4314132529 378.775124103416 0.359196139500805
14000 137.282432601517 -44.8946793515578 -917.753895864642 -1285.6362523182 367.882356453559 0.360445609058689
15000 138.865133232786 59.3995755793516 -898.843771922192 -1270.96736759885 372.123595676654 0.361412452105331
16000 133.467763577025 -9.20580910602141 -928.631715029253 -1286.29171889751 357.660003868256 0.361638787338163
17000 129.48608235028 38.9185858749176 -957.454690881702 -1304.44479151045 346.990100628752 0.367931227119115
18000 141.493287604677 59.1369657848387 -902.63934571814 -1281.80573343405 379.166387715907 0.36271997294794
19000 134.950378351179 124.124592623114 -937.046782035032 -1298.67982022744 361.633038192408 0.37062453733786
20000 142.835554819739 49.1513760846246 -889.468488068821 -1272.23181398512 382.763325916299 0.360577669569274
21000 141.500282464763 -57.0407913319465 -889.849782051255 -1269.03491423113 379.185132179876 0.356362987925342
22000 138.321473996136 -46.4923160543469 -927.133482563319 -1297.80020836015 370.666725796827 0.364531243977274
23000 137.804295541314 59.2331754229783 -902.8481622241 -1272.12897996946 369.280817745363 0.36129242238851
24000 134.652466318843 -87.1227141740849 -952.425608472607 -1313.26031742219 360.834708949583 0.36667080750992
25000 135.095238570462 22.3923956043771 -923.352636343913 -1285.37386345326 362.021227109346 0.36300709963808
26000 139.817608097202 0.205185387846309 -901.739193475265 -1276.41518198867 374.675988513408 0.360705757808823
27000 140.914189310785 -11.4688682738088 -869.314352038428 -1246.92890212342 377.614550084988 0.352169913618047
28000 147.160265549213 7.24061053365912 -888.492663463438 -1282.84512532372 394.352461860277 0.362313536497139
29000 137.094445315481 -133.94555434583 -901.023675353665 -1268.40227320927 367.378597855609 0.353822312514156
30000 143.547983644766 66.4430373263358 -891.91346170933 -1276.58591751202 384.672455802693 0.362111754905581
31000 136.568021801855 41.1941867865785 -935.205655143896 -1301.17357051803 365.967915374134 0.366572600100697
32000 142.140811892191 -68.9998032095263 -873.385191852002 -1254.28678163446 380.90158978246 0.351558051163725
33000 140.432833978103 170.96930773938 -905.620443966136 -1281.94508294798 376.324638981848 0.367098318929369
34000 142.536178168395 -10.3979845580161 -904.711671220914 -1286.67274308419 381.961071863275 0.361808171167482
35000 141.05683568348 174.242943876979 -911.769814195788 -1289.76662064623 377.996806450439 0.368662049727373
36000 136.137282427023 5.63678877562393 -937.692221228336 -1302.50586352304 364.813642294703 0.366229322929919
37000 132.32271893383 -13.8527824651382 -932.934639164777 -1287.52621167149 354.591572506716 0.361712165243757
38000 144.758908297824 148.260441067031 -875.836669986749 -1263.75409899113 387.917429004382 0.36055374335462
39000 140.767722861729 -83.1609587230991 -909.678735470861 -1286.90079234751 377.22205687665 0.360803871424339
40000 141.57776276483 -22.5296562217339 -888.022729161155 -1267.41548903838 379.392759877224 0.356251141155314
41000 144.827209383057 -18.1127446758676 -945.064064456747 -1333.16452317373 388.100458716982 0.373593503742068
42000 139.558534801041 -33.3079849138246 -916.089197463586 -1290.07093476888 373.981737305299 0.362770991972066
43000 136.177359726897 72.4874008995684 -918.882375034132 -1283.80341440244 364.921039368303 0.364127750722628
44000 138.795569831698 -100.057966304579 -905.646660489296 -1277.58384376467 371.937183275371 0.357119256577603
45000 142.154833764828 -82.6855870197128 -902.797589957483 -1283.73675482839 380.939164870908 0.358659205864589
46000 142.893725954092 61.1564759265089 -904.147450338764 -1287.06666024967 382.919209910908 0.364808998775379
47000 141.210661768235 52.8106877003185 -925.776214727183 -1304.18523635673 378.409021629549 0.369053226833714
48000 137.070352734553 26.4648386657062 -902.784788649649 -1270.09882445404 367.314035804392 0.36066567920982
49000 142.137384248506 34.4381645103921 -934.412306961663 -1315.30471152201 380.892404560343 0.368690948574781
50000 139.335328682957 35.246452586874 -935.170784532408 -1308.55438563674 373.383601104332 0.369330074008588
51000 139.694003485947 5.31198242952835 -922.284022223386 -1296.62878149795 374.344759274565 0.365647967033906
52000 138.578411301364 -42.211976047111 -907.268486824171 -1278.62373991118 371.355253087005 0.360495863452524
53000 147.740153590646 75.5176144986051 -934.055994736395 -1329.96241055217 395.906415815776 0.37347880199702
54000 145.151629771466 -25.74722463011 -927.48165694927 -1316.45148062947 388.969823680202 0.367836390592716
55000 141.48205809623 -44.1555574666399 -898.362816249141 -1277.49911170961 379.136295460465 0.359602628987956
56000 142.432150754509 5.02700481219324 -907.746135304351 -1289.42843988888 381.682304584529 0.362878577420322
57000 141.66413846164 -48.6581124073541 -922.520949180394 -1302.14517417869 379.624224998291 0.363970140494286
58000 138.581487288696 94.0268329034653 -892.400102023131 -1263.76359798176 371.36349595863 0.361058644002585
59000 138.986243408777 -3.54423019305621 -910.160011771768 -1282.60815222877 372.448140457002 0.36157171463264
60000 139.07219765237 62.3214539522462 -919.231042879837 -1291.90951906939 372.678476189555 0.366731691496234
61000 141.938427475884 43.9269631710311 -934.157663512871 -1314.51691401295 380.359250500078 0.370395615856849
62000 142.435461050429 46.2123984265097 -897.772669635766 -1279.46384497994 381.691175344176 0.362084784029906
63000 137.630294497924 106.756793126446 -900.262154199932 -1269.07669295639 368.81453875646 0.363203442604879
64000 144.107678222645 167.750938966683 -876.076387057896 -1262.24868341777 386.172296359876 0.36173631136289
65000 139.571729309046 -63.2814190846778 -906.331709681085 -1280.34880494592 374.017095264836 0.359879908536748
66000 135.121493576098 28.1976310829951 -916.419542286801 -1278.51112620116 362.091583914357 0.363683887057468
67000 139.849505447346 12.3922034071026 -914.428690056365 -1289.19015543752 374.761465381156 0.363731513707906
68000 133.705045588187 0.660896920345346 -926.948923489522 -1285.24478340838 358.295859918854 0.3626021442936
69000 135.367749597639 -2.82755951326138 -960.538444079988 -1323.28993213342 362.751488053427 0.371235325473078
70000 134.201305786117 23.4745903744423 -944.680090449173 -1304.30580275751 359.625712308333 0.369294169160557
71000 142.044453091277 66.2858442091491 -875.484776425095 -1256.12814888088 380.643372455789 0.357884763901162
72000 141.538685301788 -79.7446568916483 -892.94216843032 -1272.23021054493 379.28804211461 0.357520175479966
73000 142.627243449011 26.6834510057601 -880.091447984178 -1262.29655187245 382.205103888271 0.357795975962203
74000 131.444975833153 70.1285559345532 -962.065728344008 -1314.30517032594 352.239441981936 0.372329844407591
75000 140.040221895509 3.31399690421948 -909.858085937292 -1285.13062338379 375.272537446498 0.361577920933524
76000 145.61853845817 33.6167156337965 -914.441812009471 -1304.66283341875 390.221021409279 0.367652876870866
77000 143.092663904298 -5.82220127231468 -887.637923548596 -1271.09023708043 383.452313531837 0.360559581982024
78000 133.08089281171 -63.1151693124682 -919.950018668057 -1276.57330628581 356.623287617749 0.359475236959581
79000 141.497691447265 -18.3984469057595 -950.327603403776 -1329.50579230908 379.178188905308 0.372025190761357
80000 138.03617056624 -36.5603503087976 -911.479681828898 -1281.38186626304 369.902184434138 0.359855758057673
81000 137.75591931726 14.01722738606 -913.13957363499 -1282.29075527933 369.151181644341 0.362013477230007
82000 140.502691538335 69.6190257829049 -921.474230666064 -1297.98607032164 376.511839655577 0.367922715040456
83000 142.381222130367 88.2577361414962 -888.879499505351 -1270.42532819923 381.545828693875 0.360631666564475
84000 138.151211999947 -33.2410935434158 -925.959635553746 -1296.17010206681 370.210466513061 0.363202802027084
85000 144.316731195994 139.680499843277 -909.918832140854 -1296.65133783707 386.732505696218 0.367506647789747
86000 138.846869272574 -36.1734459688893 -917.178375880254 -1289.25302874177 372.074652861513 0.361426102198413
87000 135.788568974054 15.0540538094937 -921.786521025184 -1285.66569905979 363.879178034608 0.363183465515917
88000 138.901612222858 18.8154576163334 -936.239017088364 -1308.46036727428 372.221350185913 0.367199446072933
89000 143.341402590893 23.2958498962257 -892.332684125281 -1276.45155471349 384.118870588204 0.359789219984287
90000 142.272306836799 43.4327069052104 -924.075342969066 -1305.32930609724 381.253963128178 0.369322000192649
91000 140.847299686673 3.75300090165184 -883.066156789909 -1260.50145952275 377.435302732836 0.35663002211093
92000 144.316892002033 -19.6530128582281 -930.935086617344 -1317.66802323326 386.732936615917 0.368349800207756
93000 135.003227199438 -47.6104147945563 -945.778054761409 -1307.55271456166 361.774659800249 0.36539279847732
94000 140.726868809604 -106.689338218207 -909.092246125009 -1286.20482442759 377.112578302577 0.358594953812515
95000 137.028778916249 -23.7870153543424 -917.376976975699 -1284.57960541387 367.202628438173 0.360619046424392
96000 140.345367378485 72.2679331219265 -938.000280782862 -1314.09053129877 376.090250515904 0.371544637158928
97000 139.932642794659 -106.361536382533 -922.925349372814 -1297.90960191369 374.984252540875 0.360711307541712
98000 141.340366332591 -40.1881752352382 -924.380468794873 -1303.13706600182 378.756597206947 0.366356154845267
99000 136.556931408696 -51.7819087365439 -900.087707480526 -1266.02590339317 365.938195912641 0.356164244289498
100000 139.912779117329 155.124696804441 -897.029469142105 -1271.96049202872 374.931022886611 0.363301242343488
